ID|NAME|COLOUR|GENDER_RECOMMENDATION|SIZE|PRICE|RATING|AVAILABILITY
ADC14536258MP|Adidas Men Purple Slim Fit Aeroready|Purple|M|M|1199.00|3.8|Y
ADC23627167MM|Adidas Solid Freelift Tennis T-shirt|Maroon|U|M|2000.00|3.1|Y
ADC23627167LB|Adidas Solid Freelift Tennis T-shirt|Black|U|L|2100.00|3.5|N
ADC13242545LY|Adidas Designed2Move T|Yellow|M|L|3000.00|3.8|Y
ADC76537883SB|Adidas Printed Win 2.0 Tee|Blue|F|S|1799.00|4.2|Y
ADC7879989MG|Adidas Tshirt|Green|M|L|1801.00|3.1|Y
ADC7879989ME|Adidas Tshirt|Green|M|L|1827.50|3.2|Y
ADC7879989MD|Adidas Tshirt|Green|M|L|1730.00|3.3|Y
ADC7879989MC|Adidas Tshirt|Green|M|L|1827.45|3.8|Y
ADC7879989MB|Adidas Tshirt|Green|M|L|1850.00|3.5|Y
ADC7879989MA|Adidas Tshirt|Green|M|L|1860.00|3.9|Y
RAGHAV708981|Raghav T shirt|Cyan|M|L|1700.47|5.0|Y
RAGHAV708921|Raghav T shirt|Cyan|M|L|1700.47|5.0|Y
RAGHAV708987|Raghav T shirt|Cyan|M|L|1700.47|5.0|Y
RAGHAV708999|Raghav T shirt|Cyan|M|L|1700.47|5.0|Y
